,SCOREMARGIN,index,action_type,defender_distance,defender_id,defender_name,defender_x_loc,defender_y_loc,event_type,game_date,game_event_id,game_id,grid_type,homeTeam,htm,loc_x,loc_y,minutes_remaining,period,player_id,player_name,season_type,seconds_remaining,shot_attempted_flag,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,time,vtm
0,3,0,Cutting Finger Roll Layup Shot,2.938742756,201967,Dante Cunningham,6.6902,30.57971,Made Shot,20151027,6,21500003,Shot Chart Detail,1,GSW,6,27,10,1,201939,Stephen Curry,Regular,56,1,3,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500003:1:10:56,NOP
1,3,1,Jump Shot,2.832872085,203076,Anthony Davis,29.57828,36.60186,Missed Shot,20151027,9,21500003,Shot Chart Detail,1,GSW,28,39,10,1,201939,Stephen Curry,Regular,29,1,26,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500003:1:10:29,NOP
2,-2,2,Layup Shot,15.96365278,201967,Dante Cunningham,8.39449,27.32735,Missed Shot,20151027,14,21500003,Shot Chart Detail,1,GSW,12,11,9,1,201939,Stephen Curry,Regular,34,1,2,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500003:1:9:34,NOP
3,3,3,Jump Shot,12.12543104,101126,Nate Robinson,31.81681,34.14103,Made Shot,20151027,19,21500003,Shot Chart Detail,1,GSW,43,36,9,1,201939,Stephen Curry,Regular,13,1,27,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500003:1:9:13,NOP
4,3,4,Running Layup Shot,9.92498043,201967,Dante Cunningham,3.91578,26.87922,Made Shot,20151027,36,21500003,Shot Chart Detail,1,GSW,4,36,7,1,201939,Stephen Curry,Regular,11,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500003:1:7:11,NOP
5,4,5,Jump Shot,11.7291659,201569,Eric Gordon,33.81671,6.03403,Made Shot,20151027,38,21500003,Shot Chart Detail,1,GSW,35,17,6,1,201939,Stephen Curry,Regular,45,1,25,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500003:1:6:45,NOP
6,6,6,Jump Shot,8.819572969,2570,Kendrick Perkins,30.93264,32.90993,Made Shot,20151027,46,21500003,Shot Chart Detail,1,GSW,38,36,5,1,201939,Stephen Curry,Regular,50,1,22,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612744,Golden State Warriors,0021500003:1:5:50,NOP
7,7,7,Jump Shot,3.517090047,202397,Ish Smith,26.49487,36.71795,Made Shot,20151027,55,21500003,Shot Chart Detail,1,GSW,28,39,5,1,201939,Stephen Curry,Regular,3,1,28,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500003:1:5:03,NOP
8,12,8,Step Back Jump shot,2.075287401,203076,Anthony Davis,20.70902,9.31958,Made Shot,20151027,68,21500003,Shot Chart Detail,1,GSW,22,8,3,1,201939,Stephen Curry,Regular,57,1,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500003:1:3:57,NOP
9,9,9,Jump Shot,1.06022993,201582,Alexis Ajinca,34.94167,34.57997,Missed Shot,20151027,82,21500003,Shot Chart Detail,1,GSW,35,33,3,1,201939,Stephen Curry,Regular,6,1,27,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500003:1:3:06,NOP
