"","grid_type","game_id","game_event_id","player_id","player_name","team_id","team_name","period","minutes_remaining","seconds_remaining","event_type","action_type","shot_type","shot_zone_basic","shot_zone_area","shot_zone_range","shot_distance","loc_x","loc_y","shot_attempted_flag","shot_made_flag","game_date","htm","vtm","shot_made_numeric","shot_value"
"1","Shot Chart Detail","0021500002","11","2544","LeBron James","1610612739","Cleveland Cavaliers","1","10","28","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.",20,-19.1,11.75,1,"made","20151027","CHI","CLE",1,2
"2","Shot Chart Detail","0021500002","16","2544","LeBron James","1610612739","Cleveland Cavaliers","1","9","47","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.",21,1.9,26.65,1,"missed","20151027","CHI","CLE",0,2
"3","Shot Chart Detail","0021500002","19","2544","LeBron James","1610612739","Cleveland Cavaliers","1","9","16","Missed Shot","Fadeaway Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",7,-2.7,11.75,1,"missed","20151027","CHI","CLE",0,2
"4","Shot Chart Detail","0021500002","24","2544","LeBron James","1610612739","Cleveland Cavaliers","1","9","2","Made Shot","Running Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0,5.35,1,"made","20151027","CHI","CLE",1,2
"5","Shot Chart Detail","0021500002","35","2544","LeBron James","1610612739","Cleveland Cavaliers","1","7","57","Made Shot","Alley Oop Layup shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,1.9,7.35,1,"made","20151027","CHI","CLE",1,2
"6","Shot Chart Detail","0021500002","96","2544","LeBron James","1610612739","Cleveland Cavaliers","1","2","42","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",23,-9.2,26.55,1,"missed","20151027","CHI","CLE",0,2
"7","Shot Chart Detail","0021500002","131","2544","LeBron James","1610612739","Cleveland Cavaliers","1","1","20","Made Shot","Cutting Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,2.2,5.95,1,"made","20151027","CHI","CLE",1,2
"8","Shot Chart Detail","0021500002","168","2544","LeBron James","1610612739","Cleveland Cavaliers","2","9","48","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,-2.2,6.55,1,"missed","20151027","CHI","CLE",0,2
"9","Shot Chart Detail","0021500002","182","2544","LeBron James","1610612739","Cleveland Cavaliers","2","8","36","Missed Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",24,11.5,27.05,1,"missed","20151027","CHI","CLE",0,3
"10","Shot Chart Detail","0021500002","184","2544","LeBron James","1610612739","Cleveland Cavaliers","2","8","26","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,-1.2,7.35,1,"missed","20151027","CHI","CLE",0,2
"11","Shot Chart Detail","0021500002","205","2544","LeBron James","1610612739","Cleveland Cavaliers","2","7","8","Made Shot","Running Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,0.4,6.55,1,"made","20151027","CHI","CLE",1,2
"12","Shot Chart Detail","0021500002","284","2544","LeBron James","1610612739","Cleveland Cavaliers","2","0","34","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-17.8,24.05,1,"missed","20151027","CHI","CLE",0,3
"13","Shot Chart Detail","0021500002","288","2544","LeBron James","1610612739","Cleveland Cavaliers","2","0","1","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,-10.7,29.95,1,"made","20151027","CHI","CLE",1,3
"14","Shot Chart Detail","0021500002","295","2544","LeBron James","1610612739","Cleveland Cavaliers","3","11","38","Made Shot","Driving Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,2,5.55,1,"made","20151027","CHI","CLE",1,2
"15","Shot Chart Detail","0021500002","299","2544","LeBron James","1610612739","Cleveland Cavaliers","3","10","57","Made Shot","Running Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,1.9,6.05,1,"made","20151027","CHI","CLE",1,2
"16","Shot Chart Detail","0021500002","450","2544","LeBron James","1610612739","Cleveland Cavaliers","4","8","32","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,-2.2,5.55,1,"made","20151027","CHI","CLE",1,2
"17","Shot Chart Detail","0021500002","453","2544","LeBron James","1610612739","Cleveland Cavaliers","4","7","59","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",21,-8.3,25.05,1,"made","20151027","CHI","CLE",1,2
"18","Shot Chart Detail","0021500002","457","2544","LeBron James","1610612739","Cleveland Cavaliers","4","7","34","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",24,-8.6,28.45,1,"missed","20151027","CHI","CLE",0,3
"19","Shot Chart Detail","0021500002","482","2544","LeBron James","1610612739","Cleveland Cavaliers","4","5","32","Made Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",6,6.6,5.45,1,"made","20151027","CHI","CLE",1,2
"20","Shot Chart Detail","0021500002","500","2544","LeBron James","1610612739","Cleveland Cavaliers","4","4","40","Made Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",5,-0.7,10.45,1,"made","20151027","CHI","CLE",1,2
"21","Shot Chart Detail","0021500002","521","2544","LeBron James","1610612739","Cleveland Cavaliers","4","3","0","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.",24,-24,6.35,1,"missed","20151027","CHI","CLE",0,3
"22","Shot Chart Detail","0021500002","556","2544","LeBron James","1610612739","Cleveland Cavaliers","4","0","3","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,2.2,6.35,1,"missed","20151027","CHI","CLE",0,2
"23","Shot Chart Detail","0021500011","25","2544","LeBron James","1610612739","Cleveland Cavaliers","1","8","45","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.",15,13.2,12.95,1,"missed","20151028","MEM","CLE",0,2
"24","Shot Chart Detail","0021500011","32","2544","LeBron James","1610612739","Cleveland Cavaliers","1","7","57","Made Shot","Running Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0,5.35,1,"made","20151028","MEM","CLE",1,2
"25","Shot Chart Detail","0021500011","93","2544","LeBron James","1610612739","Cleveland Cavaliers","1","2","32","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",25,15.5,25.05,1,"missed","20151028","MEM","CLE",0,3
"26","Shot Chart Detail","0021500011","110","2544","LeBron James","1610612739","Cleveland Cavaliers","1","0","23","Made Shot","Alley Oop Layup shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0.2,4.65,1,"made","20151028","MEM","CLE",1,2
"27","Shot Chart Detail","0021500011","113","2544","LeBron James","1610612739","Cleveland Cavaliers","1","0","0","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.",15,-7.9,19.15,1,"missed","20151028","MEM","CLE",0,2
"28","Shot Chart Detail","0021500011","192","2544","LeBron James","1610612739","Cleveland Cavaliers","2","5","40","Missed Shot","Step Back Jump shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",19,-8.9,22.65,1,"missed","20151028","MEM","CLE",0,2
"29","Shot Chart Detail","0021500011","226","2544","LeBron James","1610612739","Cleveland Cavaliers","2","1","29","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",14,-14,2.35,1,"missed","20151028","MEM","CLE",0,2
"30","Shot Chart Detail","0021500011","262","2544","LeBron James","1610612739","Cleveland Cavaliers","3","8","41","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.",20,20,9.05,1,"missed","20151028","MEM","CLE",0,2
"31","Shot Chart Detail","0021500011","266","2544","LeBron James","1610612739","Cleveland Cavaliers","3","8","5","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,1,5.55,1,"made","20151028","MEM","CLE",1,2
"32","Shot Chart Detail","0021500011","268","2544","LeBron James","1610612739","Cleveland Cavaliers","3","7","31","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",24,-18.1,21.65,1,"missed","20151028","MEM","CLE",0,3
"33","Shot Chart Detail","0021500011","290","2544","LeBron James","1610612739","Cleveland Cavaliers","3","4","55","Made Shot","Step Back Jump shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.",20,-19.7,10.85,1,"made","20151028","MEM","CLE",1,2
"34","Shot Chart Detail","0021500011","302","2544","LeBron James","1610612739","Cleveland Cavaliers","3","3","55","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.",20,1,25.25,1,"missed","20151028","MEM","CLE",0,2
"35","Shot Chart Detail","0021500011","402","2544","LeBron James","1610612739","Cleveland Cavaliers","4","8","2","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.",23,23.2,8.35,1,"missed","20151028","MEM","CLE",0,3
"36","Shot Chart Detail","0021500021","15","2544","LeBron James","1610612739","Cleveland Cavaliers","1","10","30","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-1.7,5.95,1,"made","20151030","CLE","MIA",1,2
"37","Shot Chart Detail","0021500021","18","2544","LeBron James","1610612739","Cleveland Cavaliers","1","9","53","Made Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",5,1.2,10.85,1,"made","20151030","CLE","MIA",1,2
